"Disease" "Gene"
"CLL" "UGT2B17"
"CLL" "CXCL12"
"CLL" "PDE4D"
"CLL" "CD8B"
"CLL" "FOXP3"
"CLL" "TMSB4X"
"CLL" "CTLA4"
"CLL" "BAX"
"CLL" "PDE1B"
"CLL" "NDUFAB1"
"CLL" "TAP2"
"CLL" "HVCN1"
"CLL" "AKT1"
"CLL" "IL10"
"CLL" "RHOH"
"CLL" "CASP3"
"CLL" "DAPK1"
"CLL" "KHSRP"
"CLL" "CXCR3"
"CLL" "BRCA2"
"CLL" "ITPR3"
"CLL" "GLI1"
"CLL" "MED12"
"CLL" "XRCC1"
"CLL" "LPP"
"CLL" "ALDH7A1"
"CLL" "PPP2R5C"
"CLL" "GPR37"
"CLL" "NRIP1"
"CLL" "MAGED4B"
"CLL" "USP7"
"CLL" "MALT1"
"CLL" "CRYGC"
"CLL" "CYSLTR2"
"CLL" "SPANXA1"
"CLL" "C11ORF21"
"CLL" "SF3B2"
"CLL" "CDKN2A"
"CLL" "FAM126B"
"CLL" "MCTS1"
"CLL" "MAP3K5"
"CLL" "RAC1"
"CLL" "HSPB1"
"CLL" "PRKCA"
"CLL" "FCRL2"
"CLL" "HAVCR2"
"CLL" "PCNA"
"CLL" "BRD4"
"CLL" "EDNRA"
"CLL" "SLC16A1"
"CLL" "MYT1"
"CLL" "ORAI1"
"CLL" "SLC28A1"
"CLL" "SAMHD1"
"CLL" "ETS1"
"CLL" "TIMP1"
"CLL" "SLC6A3"
"CLL" "LMNB1"
"CLL" "TGFB1"
"CLL" "PARP9"
"CLL" "FGF2"
"CLL" "TINF2"
"CLL" "IL4R"
"CLL" "BAG6"
"CLL" "CRNN"
"CLL" "SDHB"
"CLL" "SERPINB6"
"CLL" "SDC1"
"CLL" "RGCC"
"CLL" "FLII"
"CLL" "S1PR1"
"CLL" "SIRT2"
"CLL" "BCHE"
"CLL" "IRF2"
"CLL" "BST1"
"CLL" "OXER1"
"CLL" "BID"
"CLL" "ATR"
"CLL" "APRT"
"CLL" "MGAT5"
"CLL" "MDM2"
"CLL" "IKBKB"
"CLL" "CD28"
"CLL" "IL6R"
"CLL" "RPS15"
"CLL" "DTNB"
"CLL" "DAPK2"
"CLL" "ABCC11"
"CLL" "MYBL2"
"CLL" "CDC37"
"CLL" "ENO1"
"CLL" "HOXA9"
"CLL" "RITA1"
"CLL" "DROSHA"
"CLL" "ARNT"
"CLL" "MCL1"
"CLL" "EGF"
"CLL" "KLHL7"
"CLL" "CCDC34"
"CLL" "MXI1"
"CLL" "MIF"
"CLL" "GJA1"
"CLL" "TNFSF13B"
"CLL" "RABGEF1"
"CLL" "LAX1"
"CLL" "FMOD"
"CLL" "FASN"
"CLL" "FBLIM1"
"CLL" "MDM4"
"CLL" "RPS19"
"CLL" "IL1B"
"CLL" "SELL"
"CLL" "ADRA2B"
"CLL" "INPPL1"
"CLL" "ASS1"
"CLL" "ANGPT2"
"CLL" "PRKD2"
"CLL" "CD274"
"CLL" "VWF"
"CLL" "THBS1"
"CLL" "ZBTB7A"
"CLL" "CCL2"
"CLL" "KLHL6"
"CLL" "CD40"
"CLL" "DSC3"
"CLL" "RREB1"
"CLL" "LEF1"
"CLL" "CD9"
"CLL" "PPIL3"
"CLL" "MARCKSL1"
"CLL" "PDIK1L"
"CLL" "HLA-A"
"CLL" "CASP2"
"CLL" "FAS"
"CLL" "GPS2"
"CLL" "FLT3LG"
"CLL" "P2RX7"
"CLL" "MUL1"
"CLL" "PECAM1"
"CLL" "IFIH1"
"CLL" "BCL10"
"CLL" "COG1"
"CLL" "JARID2"
"CLL" "UCN"
"CLL" "RB1"
"CLL" "IKZF3"
"CLL" "BRCA1"
"CLL" "SLAMF6"
"CLL" "TARBP2"
"CLL" "PRKAR1A"
"CLL" "PGM3"
"CLL" "APAF1"
"CLL" "HMMR"
"CLL" "GPM6A"
"CLL" "MRGPRX4"
"CLL" "F2RL3"
"CLL" "NOTCH1"
"CLL" "ATG5"
"CLL" "ITPR1"
"CLL" "BUB1"
"CLL" "HK1"
"CLL" "CCR2"
"CLL" "CD59"
"CLL" "TGFBR1"
"CLL" "AKR1C4"
"CLL" "ARR3"
"CLL" "CASP9"
"CLL" "RET"
"CLL" "TRIM63"
"CLL" "CHEK2"
"CLL" "SLC2A4"
"CLL" "SLC22A6"
"CLL" "MIB1"
"CLL" "PDE4A"
"CLL" "PSMD9"
"CLL" "HLA-DQA2"
"CLL" "PDCD6"
"CLL" "MED19"
"CLL" "SIGLEC7"
"CLL" "RNH1"
"CLL" "LAIR1"
"CLL" "KIR2DL5B"
"CLL" "IL17F"
"CLL" "CD6"
"CLL" "DDX3X"
"CLL" "PDCD1"
"CLL" "HDAC3"
"CLL" "SGK1"
"CLL" "TF"
"CLL" "FCRL1"
"CLL" "HLA-DQA1"
"CLL" "CDR2"
"CLL" "SLC2A1"
"CLL" "RAC2"
"CLL" "CD163"
"CLL" "PLAT"
"CLL" "ASXL1"
"CLL" "DCTN6"
"CLL" "HOXB7"
"CLL" "IGL"
"CLL" "CDKN2B"
"CLL" "RARA"
"CLL" "PPARG"
"CLL" "COMMD3-BMI1"
"CLL" "PIK3CA"
"CLL" "LOC102723407"
"CLL" "GPR183"
"CLL" "FBXW7"
"CLL" "DPP9"
"CLL" "NEUROD1"
"CLL" "STIL"
"CLL" "HDAC7"
"CLL" "GAR1"
"CLL" "GZMB"
"CLL" "TNFRSF1B"
"CLL" "DDX46"
"CLL" "MNX1"
"CLL" "ITGAM"
"CLL" "MTDH"
"CLL" "IL21R"
"CLL" "FASLG"
"CLL" "SI"
"CLL" "ADCYAP1R1"
"CLL" "FANCB"
"CLL" "NCR3"
"CLL" "ABCC1"
"CLL" "BANK1"
"CLL" "BTG2"
"CLL" "RBP4"
"CLL" "CYP1A1"
"CLL" "KLKB1"
"CLL" "SP110"
"CLL" "SOD2"
"CLL" "CALCA"
"CLL" "ACTA2"
"CLL" "DUSP2"
"CLL" "PPP1R12C"
"CLL" "AMFR"
"CLL" "MRGPRX3"
"CLL" "APC"
"CLL" "ATF2"
"CLL" "CD58"
"CLL" "ITGAX"
"CLL" "CDK1"
"CLL" "STAT4"
"CLL" "NR1H4"
"CLL" "SLC28A3"
"CLL" "LATS1"
"CLL" "IRF5"
"CLL" "DCAF1"
"CLL" "TNFSF18"
"CLL" "HNF4A"
"CLL" "TUFM"
"CLL" "PRKCB"
"CLL" "CASP10"
"CLL" "TNFRSF9"
"CLL" "TLR1"
"CLL" "CDK2AP2"
"CLL" "PARK2"
"CLL" "CDKN1A"
"CLL" "ADAM29"
"CLL" "CD2"
"CLL" "HSPA4"
"CLL" "FCRL4"
"CLL" "BAG1"
"CLL" "ATM"
"CLL" "NRK"
"CLL" "BIRC5"
"CLL" "CFLAR"
"CLL" "ACTB"
"CLL" "IL1RL1"
"CLL" "IL24"
"CLL" "TNFRSF14"
"CLL" "NUP98"
"CLL" "KLRC4-KLRK1"
"CLL" "PRAME"
"CLL" "KLRK1"
"CLL" "ICOS"
"CLL" "IFI27"
"CLL" "ADRB2"
"CLL" "IFNA1"
"CLL" "SIGIRR"
"CLL" "GPT"
"CLL" "RIPK1"
"CLL" "CLEC17A"
"CLL" "CTNNB1"
"CLL" "FCGR2B"
"CLL" "CD38"
"CLL" "CRP"
"CLL" "FKRP"
"CLL" "HSP90B1"
"CLL" "MNDA"
"CLL" "VDAC1"
"CLL" "KRAS"
"CLL" "BBC3"
"CLL" "EIF4E"
"CLL" "LAMTOR2"
"CLL" "HDAC10"
"CLL" "DRC1"
"CLL" "NPAS2"
"CLL" "TNFSF4"
"CLL" "IL2RB"
"CLL" "IL3"
"CLL" "NCOA6"
"CLL" "PSMG1"
"CLL" "SRF"
"CLL" "TNFAIP3"
"CLL" "OPN1LW"
"CLL" "ROR1"
"CLL" "LPAR3"
"CLL" "RPL11"
"CLL" "TRAT1"
"CLL" "STK11"
"CLL" "BMP1"
"CLL" "MPEG1"
"CLL" "TSACC"
"CLL" "BCL9"
"CLL" "GPR151"
"CLL" "LOC105379528"
"CLL" "GSTM1"
"CLL" "B3GAT1"
"CLL" "LRP5"
"CLL" "HIF1A"
"CLL" "AKAP12"
"CLL" "ABCB1"
"CLL" "CD1D"
"CLL" "SMYD2"
"CLL" "UVRAG"
"CLL" "PTGS2"
"CLL" "TNFRSF17"
"CLL" "PIK3R2"
"CLL" "TSPAN7"
"CLL" "BCL11A"
"CLL" "EZH1"
"CLL" "STAT5A"
"CLL" "MAPK1"
"CLL" "HSPB3"
"CLL" "IL15RA"
"CLL" "THPO"
"CLL" "FERMT3"
"CLL" "BCL2L2"
"CLL" "CD79B"
"CLL" "DICER1"
"CLL" "HSPG2"
"CLL" "MMP2"
"CLL" "CD226"
"CLL" "UGT1A1"
"CLL" "MBD2"
"CLL" "GLB1"
"CLL" "IFNG"
"CLL" "TLR9"
"CLL" "RAG2"
"CLL" "POT1"
"CLL" "PLXNB1"
"CLL" "DUSP8"
"CLL" "MELK"
"CLL" "HDLBP"
"CLL" "TP53INP1"
"CLL" "F9"
"CLL" "LYN"
"CLL" "TNR"
"CLL" "ANXA5"
"CLL" "IPCEF1"
"CLL" "BGN"
"CLL" "CXCL8"
"CLL" "SEMA4D"
"CLL" "CD99"
"CLL" "DSP"
"CLL" "CD37"
"CLL" "ITGB1"
"CLL" "TRB"
"CLL" "ACSBG1"
"CLL" "COX8A"
"CLL" "JUND"
"CLL" "WNT16"
"CLL" "C6ORF10"
"CLL" "FARP2"
"CLL" "YY1"
"CLL" "AIMP2"
"CLL" "ISYNA1"
"CLL" "TET2"
"CLL" "FCMR"
"CLL" "CRB3"
"CLL" "IL17A"
"CLL" "IL2"
"CLL" "RAD51"
"CLL" "CD5"
"CLL" "NR1I3"
"CLL" "PIEZO1"
"CLL" "EFNA4"
"CLL" "YPEL5"
"CLL" "TNFRSF10B"
"CLL" "HPGDS"
"CLL" "DENR"
"CLL" "CSF1R"
"CLL" "GSTP1"
"CLL" "PIK3CB"
"CLL" "HECTD4"
"CLL" "ERCC4"
"CLL" "NGF"
"CLL" "EZH2"
"CLL" "TRH"
"CLL" "GRM3"
"CLL" "HLA-DRB4"
"CLL" "CD70"
"CLL" "FOS"
"CLL" "KCNK3"
"CLL" "IDH1"
"CLL" "DNMT3B"
"CLL" "CCL4"
"CLL" "TIA1"
"CLL" "CMA1"
"CLL" "CYP2B6"
"CLL" "LCK"
"CLL" "TNFRSF10C"
"CLL" "HSPB2"
"CLL" "FGFR3"
"CLL" "ROR2"
"CLL" "AATF"
"CLL" "NR4A1"
"CLL" "IFI16"
"CLL" "CD36"
"CLL" "PBX1"
"CLL" "XBP1"
"CLL" "PLAGL1"
"CLL" "SLC23A2"
"CLL" "MARCH8"
"CLL" "POLDIP2"
"CLL" "TNFRSF13B"
"CLL" "SCT"
"CLL" "GORASP1"
"CLL" "IFNGR1"
"CLL" "ST13"
"CLL" "PTPA"
"CLL" "NCL"
"CLL" "RUNX1"
"CLL" "GPLD1"
"CLL" "RIPK3"
"CLL" "LRRC34"
"CLL" "MPL"
"CLL" "IL9"
"CLL" "ILK"
"CLL" "RPAIN"
"CLL" "MAS1"
"CLL" "BMP2K"
"CLL" "CRY1"
"CLL" "LOC102724971"
"CLL" "QPCT"
"CLL" "CCND2"
"CLL" "MME"
"CLL" "CCL11"
"CLL" "HPSE2"
"CLL" "SLC29A2"
"CLL" "NLRP3"
"CLL" "HDAC2"
"CLL" "TRIM33"
"CLL" "CD200"
"CLL" "BRAF"
"CLL" "ZAP70"
"CLL" "FZD4"
"CLL" "TFR2"
"CLL" "CRMP1"
"CLL" "GALNT11"
"CLL" "MYD88"
"CLL" "CARD11"
"CLL" "GSTT1"
"CLL" "DNMT3A"
"CLL" "BCL2"
"CLL" "ATF5"
"CLL" "IL6"
"CLL" "DVL2"
"CLL" "CSF2RA"
"CLL" "MRC1"
"CLL" "SHISA3"
"CLL" "IGF1"
"CLL" "PAEP"
"CLL" "CDK2"
"CLL" "ALLC"
"CLL" "LPAR2"
"CLL" "CASP8"
"CLL" "NR0B2"
"CLL" "DCK"
"CLL" "TNFSF9"
"CLL" "SMYD3"
"CLL" "NR4A3"
"CLL" "MRPL28"
"CLL" "PREP"
"CLL" "ABO"
"CLL" "DUSP5"
"CLL" "CD3G"
"CLL" "CYSLTR1"
"CLL" "TFRC"
"CLL" "PIGR"
"CLL" "MZB1"
"CLL" "HSF1"
"CLL" "AK3"
"CLL" "GLUD1"
"CLL" "TRIM13"
"CLL" "CCND3"
"CLL" "MAD2L1"
"CLL" "MLLT1"
"CLL" "TLR7"
"CLL" "IRF3"
"CLL" "GSR"
"CLL" "TCL1A"
"CLL" "UTRN"
"CLL" "CD86"
"CLL" "HDAC1"
"CLL" "MET"
"CLL" "BNIP3"
"CLL" "MYCL"
"CLL" "CCL22"
"CLL" "PHB2"
"CLL" "IL18RAP"
"CLL" "CD44"
"CLL" "FH"
"CLL" "HAS1"
"CLL" "NOP10"
"CLL" "ADAM28"
"CLL" "PLK2"
"CLL" "IGH"
"CLL" "IL1A"
"CLL" "JUN"
"CLL" "PTEN"
"CLL" "CUL5"
"CLL" "MBTPS1"
"CLL" "HNRNPL"
"CLL" "RHOU"
"CLL" "EPHB2"
"CLL" "REL"
"CLL" "IL18R1"
"CLL" "ITGB1BP1"
"CLL" "ANPEP"
"CLL" "BIK"
"CLL" "AICDA"
"CLL" "MAPK3"
"CLL" "TIGIT"
"CLL" "IL5"
"CLL" "RCBTB1"
"CLL" "CD52"
"CLL" "BCL2L12"
"CLL" "WEE1"
"CLL" "WIF1"
"CLL" "CD33"
"CLL" "HMGA2"
"CLL" "CREBRF"
"CLL" "BCL2L11"
"CLL" "HFM1"
"CLL" "ZMYM3"
"CLL" "DLX3"
"CLL" "VHL"
"CLL" "NDRG2"
"CLL" "CD22"
"CLL" "FLT1"
"CLL" "RNF41"
"CLL" "CHD2"
"CLL" "CBFB"
"CLL" "MYCN"
"CLL" "ATN1"
"CLL" "DOCK10"
"CLL" "CXCR6"
"CLL" "SF3B1"
"CLL" "CBFA2T2"
"CLL" "NFKB2"
"CLL" "PIK3C2B"
"CLL" "ASRGL1"
"CLL" "CD80"
"CLL" "KIR2DL5A"
"CLL" "GRAP2"
"CLL" "DMRT2"
"CLL" "PLAG1"
"CLL" "TMEM132D"
"CLL" "CCL3"
"CLL" "OCA2"
"CLL" "ICAM1"
"CLL" "NFATC1"
"CLL" "GRAMD1B"
"CLL" "DOCK2"
"CLL" "CD84"
"CLL" "ZNF331"
"CLL" "CD79A"
"CLL" "IL4"
"CLL" "NTS"
"CLL" "OSM"
"CLL" "RBM14"
"CLL" "SLC35B2"
"CLL" "ITGB2"
"CLL" "GEM"
"CLL" "AGFG1"
"CLL" "SUB1"
"CLL" "MS4A1"
"CLL" "MAP3K11"
"CLL" "IL12RB2"
"CLL" "ZMYND11"
"CLL" "ARHGEF2"
