	0
0	ENSG00000145495
1	ENSG00000029534
2	ENSG00000248323
3	ENSG00000252699
4	ENSG00000076826
5	ENSG00000227331
6	ENSG00000222012
7	ENSG00000278050
8	ENSG00000259167
9	ENSG00000184221
10	ENSG00000185008
11	ENSG00000170927
12	ENSG00000161681
13	ENSG00000225945
14	ENSG00000139155
15	ENSG00000103460
16	ENSG00000204590
17	ENSG00000143198
18	ENSG00000275132
19	ENSG00000128311
20	ENSG00000197980
21	ENSG00000231822
22	ENSG00000122557
23	ENSG00000189343
24	ENSG00000234572
25	ENSG00000261055
26	ENSG00000231651
27	ENSG00000163286
28	ENSG00000112624
29	ENSG00000204872
30	ENSG00000278727
31	ENSG00000232499
32	ENSG00000154237
33	ENSG00000259581
34	ENSG00000161267
35	ENSG00000164144
36	ENSG00000273348
37	ENSG00000247131
38	ENSG00000278954
39	ENSG00000259863
40	ENSG00000140350
41	ENSG00000115677
42	ENSG00000246089
43	ENSG00000131981
44	ENSG00000236871
45	ENSG00000141179
46	ENSG00000275645
47	ENSG00000147996
48	ENSG00000106034
49	ENSG00000005187
50	ENSG00000169026
51	ENSG00000163660
52	ENSG00000280119
53	ENSG00000198670
54	ENSG00000254901
55	ENSG00000123009
56	ENSG00000177707
57	ENSG00000254772
58	ENSG00000204176
59	ENSG00000165716
60	ENSG00000213244
61	ENSG00000277639
62	ENSG00000246763
63	ENSG00000131018
64	ENSG00000155465
65	ENSG00000100142
66	ENSG00000012124
67	ENSG00000279175
68	ENSG00000229771
69	ENSG00000273733
70	ENSG00000269289
71	ENSG00000276410
72	ENSG00000185304
73	ENSG00000236279
74	ENSG00000131389
75	ENSG00000257527
76	ENSG00000144852
77	ENSG00000124356
78	ENSG00000267827
79	ENSG00000121075
80	ENSG00000232373
81	ENSG00000165487
82	ENSG00000170458
83	ENSG00000196547
84	ENSG00000211643
85	ENSG00000143294
86	ENSG00000107815
87	ENSG00000167311
88	ENSG00000183598
89	ENSG00000162032
90	ENSG00000281938
91	ENSG00000271334
92	ENSG00000187492
93	ENSG00000285641
94	ENSG00000168807
95	ENSG00000176155
96	ENSG00000188266
97	ENSG00000274386
98	ENSG00000173276
99	ENSG00000123472
100	ENSG00000149930
101	ENSG00000261359
102	ENSG00000127578
103	ENSG00000260170
104	ENSG00000119147
105	ENSG00000149743
106	ENSG00000167080
107	ENSG00000216863
108	ENSG00000105516
109	ENSG00000227939
110	ENSG00000279602
111	ENSG00000213533
112	ENSG00000165061
113	ENSG00000232795
114	ENSG00000267123
115	ENSG00000258735
116	ENSG00000095383
117	ENSG00000070950
118	ENSG00000123094
119	ENSG00000108474
120	ENSG00000158270
121	ENSG00000274760
122	ENSG00000197019
123	ENSG00000162745
124	ENSG00000132141
125	ENSG00000245849
126	ENSG00000275549
127	ENSG00000196230
128	ENSG00000250896
129	ENSG00000119630
130	ENSG00000172728
131	ENSG00000138496
132	ENSG00000143801
133	ENSG00000250574
134	ENSG00000280184
135	ENSG00000167984
136	ENSG00000188511
137	ENSG00000260874
138	ENSG00000137054
139	ENSG00000271806
140	ENSG00000198939
141	ENSG00000241506
142	ENSG00000214021
143	ENSG00000244625
144	ENSG00000255983
145	ENSG00000280023
146	ENSG00000166479
147	ENSG00000139718
148	ENSG00000187242
149	ENSG00000285091
150	ENSG00000250742
151	ENSG00000261618
152	ENSG00000162891
153	ENSG00000215199
154	ENSG00000254648
155	ENSG00000241697
156	ENSG00000113240
157	ENSG00000243101
158	ENSG00000134809
159	ENSG00000180884
160	ENSG00000056097
161	ENSG00000105953
162	ENSG00000130770
163	ENSG00000223476
164	ENSG00000273272
165	ENSG00000083937
166	ENSG00000213976
167	ENSG00000100403
168	ENSG00000279434
169	ENSG00000174013
170	ENSG00000111834
171	ENSG00000259959
172	ENSG00000243290
173	ENSG00000111647
174	ENSG00000268670
175	ENSG00000197558
176	ENSG00000205683
177	ENSG00000138246
178	ENSG00000102900
179	ENSG00000214756
180	ENSG00000280927
181	ENSG00000172269
182	ENSG00000143333
183	ENSG00000149575
184	ENSG00000188050
185	ENSG00000173040
186	ENSG00000187535
187	ENSG00000160870
188	ENSG00000267980
189	ENSG00000135324
190	ENSG00000276855
191	ENSG00000256538
192	ENSG00000130396
193	ENSG00000181038
194	ENSG00000174917
195	ENSG00000180211
196	ENSG00000257711
197	ENSG00000248188
198	ENSG00000124160
199	ENSG00000258274
200	ENSG00000271579
201	ENSG00000240423
202	ENSG00000153956
203	ENSG00000270923
204	ENSG00000103121
205	ENSG00000281106
206	ENSG00000143748
207	ENSG00000183044
208	ENSG00000251667
209	ENSG00000169181
210	ENSG00000112365
211	ENSG00000005020
212	ENSG00000147642
213	ENSG00000119979
214	ENSG00000118523
215	ENSG00000279738
216	ENSG00000151322
217	ENSG00000228315
218	ENSG00000154001
219	ENSG00000110911
220	ENSG00000228084
221	ENSG00000259426
222	ENSG00000269755
223	ENSG00000066379
224	ENSG00000211779
225	ENSG00000285908
226	ENSG00000136875
227	ENSG00000198331
228	ENSG00000166002
229	ENSG00000108239
230	ENSG00000169567
231	ENSG00000224729
232	ENSG00000122912
233	ENSG00000148450
234	ENSG00000178950
235	ENSG00000149679
236	ENSG00000254233
237	ENSG00000169885
238	ENSG00000265369
239	ENSG00000109381
240	ENSG00000227107
241	ENSG00000161955
242	ENSG00000272420
243	ENSG00000253686
244	ENSG00000101251
245	ENSG00000278266
246	ENSG00000248115
247	ENSG00000164405
248	ENSG00000134201
249	ENSG00000100078
250	ENSG00000239626
251	ENSG00000273598
252	ENSG00000007350
253	ENSG00000164794
254	ENSG00000175832
255	ENSG00000239855
256	ENSG00000054965
257	ENSG00000188730
258	ENSG00000123124
259	ENSG00000119411
260	ENSG00000235101
261	ENSG00000129911
262	ENSG00000241680
263	ENSG00000235290
264	ENSG00000271811
265	ENSG00000108826
